buyer_name,buyer_ticker,supplier_name,supplier_ticker,relationship_type,supply_concentration_pct,product_category,effective_date,contract_value_usd,supplier_address,contact_email
Meta Platforms Inc,META,IBM Corp,IBM,Service Provider,5.25,IT Infrastructure,2023-12-17,3312511.49,"PSC 5440, Box 9676, APO AE 41301",janet.baker@ibmcorp.com
Cisco Systems,CSCO,DHL Express,DHL.DE,Logistics Partner,11.09,International Shipping,2024-08-07,2528322.45,,victoria.johnson@dhlexpress.com
FactSet Research,FDS,Deloitte,DLT,Service Provider,5.98,Consulting,2025-01-05,631952.04,"299 Christine Burg, East Jasontown, WA 37962",jeanette.reed@deloitte.com
Netflix Inc,NFLX,ServiceNow Inc,NOW,Service Provider,8.37,IT Service Management,2022-06-23,771165.87,"71360 Dunlap Cliff Apt. 100, Richardfort, PA 62305",benjamin.juarez@servicenowin.com
Costco Wholesale,COST,FedEx Corp,FDX,Logistics Partner,2.61,Express Delivery,2023-07-08,8307448.18,"19859 Maynard Union, Kimberlytown, DC 43967",erica.miller@fedexcorp.com
Intel Corp,INTC,Workday Inc,WDAY,Service Provider,10.43,Finance,2022-07-04,2418864.71,"472 Young Point, Millerchester, ND 22662",victor.paul@workdayinc.com
Alphabet Inc,GOOGL,UPS Inc,UPS,Logistics Partner,19.21,Shipping,2024-10-18,1515453.5,,
NVIDIA Corp,NVDA,ServiceNow Inc,NOW,Service Provider,17.11,IT Service Management,2024-01-31,6225641.37,"365 Joshua Shoal, West Kayleeville, ME 19092",ashley.moore@servicenowin.com
Ford Motor Co,F,Continental AG,CON.DE,Direct Supplier,17.37,Tires,2022-03-17,2639272.57,,
Walt Disney Co,DIS,SAP SE,SAP,Service Provider,8.45,ERP,2022-12-08,6992108.94,,
Costco Wholesale,COST,Workday Inc,WDAY,Service Provider,15.86,HR Software,2024-05-23,6440812.3,"437 Harris Pines, Miguelfurt, NM 03358",nancy.lee@workdayinc.com
Microsoft Corp,MSFT,,,Service Provider,7.26,Data Center Colocation,2023-12-27,4342581.01,,
Cisco Systems,CSCO,Accenture plc,ACN,Service Provider,low,Consulting,2023-01-08,3521888.99,"USCGC Combs, FPO AA 55788",jenny.mccann@accentureplc.com
Meta Platforms Inc,META,SAP SE,SAP,Service Provider,10.13,ERP,2025-02-26,8929283.4,"736 Castillo Terrace Suite 434, Lake Nicole, VI 40386",barbara.davila@sapse.com
Nike Inc,NKE,DHL Express,DHL.DE,Logistics Partner,0.63,International Shipping,2023-07-17,5380594.12,"700 Woodward River Suite 200, Nelsonview, MP 89629",nathaniel.galloway@dhlexpress.com
Tesla Inc,TSLA,LG Energy Solution,373220.KS,Direct Supplier,,EV Batteries,2023-10-05,4392119.14,"388 Jones Wall Apt. 607, Port Lawrencechester, OK 53509",adrian.burgess@lgenergysolu.com
Apple Inc,AAPL,Sony Semiconductor,6758.T,Direct Supplier,23.8,Camera Modules,2024-06-16,9001160.14,"8893 Robinson Mews Suite 065, Ramseymouth, PW 17229",thomas.bender@sonysemicond.com
Caterpillar Inc,CAT,Roper Technologies,ROP,Direct Supplier,9.5,Software,2025-02-05,4141332.09,,willie.camacho@ropertechnol.com
Nike Inc,NKE,Workday Inc,WDAY,Service Provider,-45.36,HR Software,2024-03-13,1663913.48,"06956 Carrie Squares, East Sarah, MH 25492",joshua.warren@workdayinc.com
Boeing Co,BA,Honeywell Intl,HON,Direct Supplier,14.27,APUs,2022-10-14,7264484.12,"5539 Vanessa Wells Apt. 737, West Brandymouth, NM 79475",jacqueline.jones@honeywellint.com
General Electric,GE,Deloitte,DLT,Service Provider,18.45,Consulting,2025-11-23,1151156.52,,rebecca.hickman@deloitte.com
Meta Platforms Inc,META,FedEx Corp,FDX,Logistics Partner,17.15,Freight,2024-12-30,4007272.89,"PSC 6714, Box 6283, APO AE 83019",jonathan.james@fedexcorp.com
Eli Lilly,LLY,UPS Inc,UPS,Logistics Partner,18.25,Supply Chain,2025-08-13,7053157.82,"5744 Rodriguez Cape Suite 692, Taylormouth, LA 86247",justin.aguilar@upsinc.com
Amazon.com Inc,AMZN,Deloitte,DLT,Service Provider,11.46,Audit,2023-07-01,8818284.03,,douglas.miles@deloitte.com
Nike Inc,NKE,ServiceNow Inc,NOW,Service Provider,13.1,IT Service Management,2025-03-10,2519598.08,"1272 Matthews Coves, New Connie, MI 50557",anthony.smith@servicenowin.com
Tesla Inc,TSLA,ServiceNow Inc,NOW,Service Provider,9.06,IT Service Management,2025-02-23,6459301.8,"769 Salazar Street Suite 256, Wongport, CA 08842",andrew.guerrero@servicenowin.com
Ford Motor Co,F,FedEx Corp,FDX,Logistics Partner,10.61,Express Delivery,2025-05-24,5605972.07,,
Merck & Co,MRK,Danaher Corp,DHR,Direct Supplier,2.95,Bioprocessing,2024-01-29,4542762.2,"586 Hunter Hollow Apt. 362, Matthewhaven, ND 95044",brandi.mcintyre@danahercorp.com
Intel Corp,INTC,Amkor Technology,AMKR,Contract Manufacturer,16.01,IC Packaging,2024-05-17,1169305.31,"5859 Michelle Shore, Port Douglas, KS 34073",matthew.smith@amkortechnol.com
General Electric,GE,FedEx Corp,FDX,Logistics Partner,5.68,Express Delivery,2024-08-04,7140581.45,"98212 Whitehead Pass Suite 740, Brianland, MA 09189",kevin.king@fedexcorp.com
Eli Lilly,LLY,West Pharmaceutical,WST,Direct Supplier,24.08,Delivery Systems,2025-05-24,3409314.89,"PSC 3911, Box 1926, APO AP 85423",brian.wheeler@westpharmace.com
PepsiCo Inc,PEP,Acme Widget Corp,ACME,Service Provider,7.99,Data Storage,2023-06-07,7744623.08,"252 Griffin Underpass, Briggsville, OK 56528",lauren.mccormick@ironmountain.com
Eli Lilly,LLY,Workday Inc,WDAY,Service Provider,5.07,Finance,2023-04-12,4105400.8,"04862 Sutton Island Apt. 174, Murphyborough, MD 96044",carlos.bauer@workdayinc.com
JPMorgan Chase,JPM,SAP SE,SAP,Service Provider,7.85,Business Software,2025-09-23,2492240.24,"9661 Armstrong Neck, Port Kathy, PW 96516",christopher.hopkins@sapse.com
Microsoft Corp,MSFT,Deloitte,DLT,Service Provider,9.77,Consulting,2022-01-15,2721882.93,,karen.myers@deloitte.com
Merck & Co,MRK,DHL Express,DHL.DE,Logistics Partner,-84.79,International Shipping,2025-10-29,4161282.64,"97384 Faulkner Summit Apt. 213, North Emilyside, NY 18842",brian.meyers@dhlexpress.com
Caterpillar Inc,CAT,Eaton Corp,ETN,Direct Supplier,7.36,Electrical Components,2024-07-06,5281911.81,,
General Motors,GM,Denso Corp,6902.T,Tier 2 Supplier,18.63,HVAC Systems,2024-11-06,353831.07,"8496 Elizabeth Fords, Gregorystad, AR 71434",jessica.ward@densocorp.com
Netflix Inc,NFLX,UPS Inc,UPS,Logistics Partner,13.04,Supply Chain,2022-07-16,2582129.99,,
Merck & Co,MRK,Lonza Group,LONN.SW,Contract Manufacturer,7.55,Biologics,2023-09-23,9776360.1,"95634 Shaun Parks, Floresburgh, GA 47515",claire.mckee@lonzagroup.com
NVIDIA Corp,NVDA,,,Direct Supplier,3.74,DRAM,2024-09-23,6596370.63,"Unit 0119 Box 2920, DPO AP 63121",mark.chapman@skhynix.com
Costco Wholesale,COST,Iron Mountain,IRM,Service Provider,17.69,Records Management,2022-05-14,1229008.53,"PSC 7491, Box 6194, APO AE 33203",kristina.miller@ironmountain.com
Netflix Inc,NFLX,DHL Express,DHL.DE,Logistics Partner,19.0,International Shipping,2024-09-21,2528582.55,"3502 Seth Mission, Debrashire, AL 25727",debra.bentley@dhlexpress.com
Cisco Systems,CSCO,SAP SE,SAP,Service Provider,9.53,Business Software,2025-10-30,790966.49,"182 Audrey Mountain, Port Charles, TX 56986",matthew.jones@sapse.com
Microsoft Corp,MSFT,Snowflake Inc,SNOW,Service Provider,6.18,Data Warehousing,2022-03-01,2621048.63,"4527 Kristine Knolls, South Larry, IN 45647",donald.schmidt@snowflakeinc.com
Coca-Cola Co,KO,Accenture plc,ACN,Service Provider,,Consulting,2023-06-09,3231597.1,,
Tesla Inc,TSLA,Mobileye Global,MBLY,Direct Supplier,2.24,ADAS Chips,2025-06-17,1929543.76,,
Merck & Co,MRK,Danaher Corp,DHR,Direct Supplier,3.1,Diagnostics,2024-01-27,5739059.31,"57905 Martinez Street, Port Dawnhaven, SC 75943",nicholas.baker@danahercorp.com
PepsiCo Inc,PEP,SAP SE,SAP,Service Provider,1.79,Business Software,2022-05-01,9170274.49,"Unit 9241 Box 3717, DPO AE 00831",kelli.rodriguez@sapse.com
Qualcomm Inc,QCOM,Workday Inc,WDAY,Service Provider,10.1,HR Software,2025-07-17,3546256.71,"15415 Theresa Points Apt. 702, Grossburgh, MP 91535",morgan.garza@workdayinc.com
Boeing Co,BA,SAP SE,SAP,Service Provider,13.3,ERP,2023-08-04,3500454.75,"1773 Justin Spur, Port Jeanne, AZ 99867",jose.perkins@sapse.com
Costco Wholesale,COST,Workday Inc,WDAY,Service Provider,8.64,Finance,2025-10-26,7022864.43,"5811 Woodard Mission, Josephfurt, TN 48439",cassidy.jones@workdayinc.com
NVIDIA Corp,NVDA,Sumco Corp,3436.T,Direct Supplier,2.4,Silicon Wafers,2022-06-30,411541.91,,
Johnson & Johnson,JNJ,Workday Inc,WDAY,Service Provider,14.3,Finance,2022-05-12,5165521.39,,
Cisco Systems,CSCO,Workday Inc,WDAY,Service Provider,9.28,HR Software,2025-06-13,3756495.95,,
AMD Inc,AMD,ASML Holding,ASML,Direct Supplier,8.17,EUV Lithography Equipment,2022-02-23,6976419.22,"37356 Smith Path Apt. 083, Port Richardmouth, FM 68714",daniel.barnett@asmlholding.com
Apple Inc,AAPL,Foxconn,2317.TW,Contract Manufacturer,7.36,Device Assembly,2024-04-29,1164545.52,"1693 Jennifer Bypass Suite 741, Lake Arielstad, ID 74793",robert.arnold@foxconn.com
Caterpillar Inc,CAT,Eaton Corp,ETN,Direct Supplier,11.16,Electrical Components,2023-12-01,2958928.76,,
Broadcom Inc,AVGO,SK Hynix,000660.KS,Direct Supplier,13.9,NAND Flash,2022-04-16,2562159.99,"Unit 1850 Box 1631, DPO AA 79821",karla.taylor@skhynix.com
Adobe Inc,ADBE,Cloudflare Inc,NET,Service Provider,10.05,CDN,2023-08-17,2930017.88,"1988 Tiffany Harbor Apt. 450, Romeroborough, NY 05819",scott.lindsey@cloudflarein.com
Cisco Systems,CSCO,Accenture plc,ACN,Service Provider,7.75,Consulting,2024-02-05,1996174.01,,
Boeing Co,BA,Safran SA,SAF.PA,Direct Supplier,2.61,Engine Components,2022-03-18,6421116.16,,
General Motors,GM,IBM Corp,IBM,Service Provider,14.18,Cloud,2022-11-09,5677242.48,"25389 Colin Tunnel Suite 851, Lake Michael, UT 85037",michael.schaefer@ibmcorp.com
Microsoft Corp,MSFT,Accenture plc,ACN,Service Provider,17.51,Consulting,2025-04-17,1348392.47,,
Qualcomm Inc,QCOM,Oscorp Industries,OSCP,Service Provider,5.27,Business Software,2022-07-31,931300.92,"Unit 0814 Box 0334, DPO AP 03799",mark.pena@sapse.com
Netflix Inc,NFLX,Cyberdyne Systems,CYBD,Service Provider,2.86,IT Service Management,2023-03-02,7247112.49,,
General Electric,GE,Deloitte,DLT,Service Provider,14.39,Audit,00-00-0000,7740534.82,"262 Sharon Shores, South Victoriastad, PR 03133",oscar.mills@deloitte.com
JPMorgan Chase,JPM,FIS Global,FIS,Service Provider,11.15,Payments,2022-01-26,1557940.05,,
Ford Motor Co,F,Lear Corp,LEA,Direct Supplier,7.22,Seating,2025-04-01,2262945.77,"739 Patricia Rapids, North Justin, PR 62587",felicia.browning@learcorp.com
Netflix Inc,NFLX,Wayne Enterprises,WAYN,Service Provider,3.92,IT Service Management,2023-06-10,8622669.79,,
Tesla Inc,TSLA,Aptiv PLC,APTV,Direct Supplier,32.46,Connectors,2025-06-30,3173460.67,"9979 Lin Road Suite 271, Ramosport, WY 36503",kathleen.rios@aptivplc.com
Qualcomm Inc,QCOM,SK Hynix,000660.KS,Direct Supplier,18.74,DRAM,2022-07-06,4726603.43,"63745 Morgan Ports Apt. 975, North Corymouth, AK 16785",cynthia.terry@skhynix.com
Qualcomm Inc,QCOM,Tokyo Electron,8035.T,Direct Supplier,2.03,Etch Systems,2023-06-26,7567065.12,"18706 Sherry Port, East Zachary, NY 06972",shannon.boyd@tokyoelectro.com
General Electric,GE,Deloitte,DLT,Service Provider,high,Audit,2022-03-16,6969399.96,"67965 Garrett Loaf, Bullockburgh, IN 72374",caleb.mckinney@deloitte.com
AMD Inc,AMD,Deloitte,DLT,Service Provider,7.17,Consulting,2022-04-28,6278255.28,"Unit 2550 Box 7868, DPO AP 84064",terri.ortiz@deloitte.com
Merck & Co,MRK,IBM Corp,IBM,Service Provider,4.2,Cloud,2023-10-04,2499442.63,"079 Crawford Mews Apt. 208, Hansenton, MH 46062",tiffany.nicholson@ibmcorp.com
Nike Inc,NKE,Workday Inc,WDAY,Service Provider,10.33,HR Software,2025-02-08,2056969.12,,
Texas Instruments,TXN,ASML Holding,ASML,Direct Supplier,14.01,DUV Systems,2025-04-24,1802124.72,,
Goldman Sachs,GS,Broadridge Financial,BR,Service Provider,3.55,Trade Processing,2022-06-01,3279227.9,"360 Nichols Mill Apt. 020, Lake Jennifer, OH 72476",dana.johnson@broadridgefi.com
AMD Inc,AMD,DHL Express,DHL.DE,Logistics Partner,6.74,International Shipping,2023-08-30,2313457.48,"016 Bennett Mountains, Lake Albertburgh, CO 66018",veronica.perez@dhlexpress.com
Starbucks Corp,SBUX,FedEx Corp,FDX,Logistics Partner,7.47,Freight,2022-06-25,3165094.59,"04167 Rebecca Knolls, New Gregory, MO 50629",cory.phillips@fedexcorp.com
Microsoft Corp,MSFT,Accenture plc,ACN,Service Provider,9.91,IT Services,2024-11-04,4375164.71,"39500 Romero Mission, Camachomouth, AL 05031",leah.parker@accentureplc.com
General Electric,GE,SAP SE,SAP,Service Provider,18.01,Business Software,2023-01-08,456846.83,"7618 Kimberly Lane, Lake Cassandra, AL 63832",taylor.webb@sapse.com
AMD Inc,AMD,ASE Technology,ASX,Contract Manufacturer,14.84,Testing,2023-03-23,1061192.44,,taylor.vargas@asetechnolog.com
Apple Inc,AAPL,FedEx Corp,FDX,Logistics Partner,19.66,Express Delivery,2022-05-02,6842965.34,"91898 Rivera Park Apt. 229, Lake Kimberlyton, MD 77727",william.robertson@fedexcorp.com
Oracle Corp,ORCL,CrowdStrike,CRWD,Service Provider,1.89,Endpoint Security,2025-01-11,2995250.85,"463 Krystal Pine, Gillmouth, VI 02619",scott.rowe@crowdstrike.com
Walt Disney Co,DIS,Workday Inc,WDAY,Service Provider,16.78,Finance,2023-04-01,8669606.73,"PSC 2564, Box 8586, APO AA 65736",karina.hodges@workdayinc.com
AMD Inc,AMD,Tokyo Electron,8035.T,Direct Supplier,33.75,Etch Systems,2025-07-25,8921171.4,"301 Parker Lodge Suite 145, East Susan, NJ 20579",kevin.sharp@tokyoelectro.com
NVIDIA Corp,NVDA,ASML Holding,ASML,Direct Supplier,18.29,EUV Lithography Equipment,2022-11-06,6608598.62,"4454 Simmons Views, Port Amanda, MN 90735",rebecca.kirby@asmlholding.com
Intel Corp,INTC,Iron Mountain,IRM,Service Provider,8.88,Data Storage,2023-11-08,7216543.81,"2481 Jack Fields Suite 707, Port Johnhaven, LA 73488",michael.gonzalez@ironmountain.com
Broadcom Inc,AVGO,IBM Corp,IBM,Service Provider,5.25,Cloud,2023-08-11,6389077.48,"Unit 4266 Box 3316, DPO AE 38883",glenda.clark@ibmcorp.com
Tesla Inc,TSLA,SAP SE,SAP,Service Provider,2.18,ERP,2023-02-12,1516171.92,"181 Miller Estates Suite 782, Davisbury, GU 59631",monique.williams@sapse.com
General Motors,GM,Accenture plc,ACN,Service Provider,2.86,IT Services,2025-08-21,3856099.16,"257 Jeremy Views Suite 316, Port Jamesfort, SD 66538",michael.mckenzie@accentureplc.com
Johnson & Johnson,JNJ,Charles River Labs,CRL,Service Provider,8.12,Safety Testing,2024-03-13,4869216.01,"756 Thompson Point Apt. 801, Ramirezburgh, PA 12493",holly.williams@charlesriver.com
Meta Platforms Inc,META,Iron Mountain,IRM,Service Provider,16.14,Data Storage,2022-09-17,9013267.85,"39036 Carter Meadow Suite 567, Melissamouth, CA 41851",christine.williams@ironmountain.com
Costco Wholesale,COST,UPS Inc,UPS,Logistics Partner,6.21,Supply Chain,2023-01-19,1522940.34,,marissa.vargas@upsinc.com
Intel Corp,INTC,ASML Holding,ASML,Direct Supplier,18.14,EUV Lithography Equipment,2024-09-27,711678.13,"2138 Mcmillan Wall, Melvintown, OK 87927",michael.cruz@asmlholding.com
Salesforce Inc,CRM,Akamai Technologies,AKAM,Service Provider,4.28,Edge Computing,2025-06-13,481482.12,"80869 Glass Tunnel Apt. 922, South Dianemouth, NY 50919",stephen.lawrence@akamaitechno.com
Intel Corp,INTC,Micron Technology,MU,Direct Supplier,11.65,NAND Storage,2023-11-04,1813505.34,"6340 Salinas Road Suite 447, Petersonburgh, PR 17416",matthew.davis@microntechno.com
Johnson & Johnson,JNJ,,,Contract Manufacturer,11.24,Drug Delivery,2025-12-16,9989969.95,,
PepsiCo Inc,PEP,IBM Corp,IBM,Service Provider,4.33,Cloud,2024-02-17,191614.33,"5385 Jasmine Flats Suite 635, New Justin, CA 41433",christopher.anderson@ibmcorp.com
AMD Inc,AMD,SK Hynix,000660.KS,Direct Supplier,10.89,NAND Flash,2025-10-20,6143861.51,"1786 Alex Ferry Apt. 009, West Kimberlyville, OH 17266",cheryl.wagner@skhynix.com
Procter & Gamble,PG,FedEx Corp,FDX,Logistics Partner,13.99,Express Delivery,2024-06-27,9897647.61,"5263 Jackson Ways, Whiteborough, ID 48268",hayley.anderson@fedexcorp.com
Adobe Inc,ADBE,Microsoft Azure,MSFT,Service Provider,5.58,Cloud Platform,2024-09-27,3061761.62,"35761 Klein Summit, South Nicoleville, FM 59024",jennifer.hall@microsoftazu.com
Lockheed Martin,LMT,Iron Mountain,IRM,Service Provider,5.77,Records Management,2025-03-08,524707.58,"Unit 0548 Box 7396, DPO AE 01850",kaitlyn.allen@ironmountain.com
Meta Platforms Inc,META,FedEx Corp,FDX,Logistics Partner,2.88,Express Delivery,2023-08-29,9515220.87,,
General Motors,GM,,,Direct Supplier,12.23,Drivetrain,2023-04-30,5785317.49,"6541 Frederick Walk, West Donald, GA 87371",michelle.rivera@borgwarnerin.com
Merck & Co,MRK,Deloitte,DLT,Service Provider,7.43,Consulting,2022-10-26,8705209.77,"6614 Kimberly Plain, New Lindatown, GA 01550",corey.holland@deloitte.com
Coca-Cola Co,KO,FedEx Corp,FDX,Logistics Partner,5.95,Freight,2024-01-14,5642310.96,"310 Oscar Fort, Johnsonton, MS 60054",clarence.larson@fedexcorp.com
Procter & Gamble,PG,Iron Mountain,IRM,Service Provider,3.99,Records Management,2025-12-04,5173169.97,"8782 Erika Port Suite 728, New Sean, ID 02089",charles.lane@ironmountain.com
Ford Motor Co,F,ZF Friedrichshafen,ZF.DE,Direct Supplier,7.5,Transmissions,2023-10-25,9361462.6,"USS Boyd, FPO AA 61120",melissa.meadows@zffriedrichs.com
PepsiCo Inc,PEP,ServiceNow Inc,NOW,Service Provider,,IT Service Management,2024-10-22,8590865.66,"601 Gonzalez Flats, West Jeffreystad, NE 98152",patricia.vasquez@servicenowin.com
Texas Instruments,TXN,Sumco Corp,3436.T,Direct Supplier,10.71,Silicon Wafers,2024-05-06,5984436.88,"USS Davis, FPO AP 01452",albert.adams@sumcocorp.com
JPMorgan Chase,JPM,Bloomberg LP,BBG,Service Provider,3.49,Market Data,2022-08-14,3046559.68,,
Adobe Inc,ADBE,Accenture plc,ACN,Service Provider,8.99,Consulting,2022-05-04,4086034.13,"4547 Valdez Mill, North Jerryville, MN 99425",stephen.decker@accentureplc.com
Microsoft Corp,MSFT,Deloitte,DLT,Service Provider,19.05,Audit,2025-05-10,7405929.46,"701 Karen Summit Apt. 434, Carolfort, MN 97349",kristen.cantu@deloitte.com
Costco Wholesale,COST,SAP SE,SAP,Service Provider,5.12,ERP,2023-01-27,5705446.6,"1114 Jennifer Crescent, West Jacqueline, NY 41363",angela.wright@sapse.com
General Electric,GE,UPS Inc,UPS,Logistics Partner,8.3,Supply Chain,2023-09-23,6428434.78,"5028 Larry Junctions, North Donald, NH 78701",daniel.johnson@upsinc.com
Microsoft Corp,MSFT,Google Cloud,GOOGL,Service Provider,8.08,Data Analytics,2022-10-28,6113067.23,"42643 Jackson Vista Suite 081, Port Tommy, HI 77877",david.washington@googlecloud.com
Boeing Co,BA,General Electric,GE,Direct Supplier,18.06,Jet Engines,2023-07-08,234101.15,,
AMD Inc,AMD,ServiceNow Inc,NOW,Service Provider,12.18,IT Service Management,2022-07-10,9575262.04,,
Salesforce Inc,CRM,Palo Alto Networks,PANW,Service Provider,16.35,Network Security,2025-01-14,3273113.54,"USCGC Vincent, FPO AP 36973",marie.stewart@paloaltonetw.com
JPMorgan Chase,JPM,Broadridge Financial,BR,Service Provider,13.45,Trade Processing,2022-09-26,8192044.07,"156 Arnold Mill Apt. 578, New Brian, MA 23789",michael.lara@broadridgefi.com
Qualcomm Inc,QCOM,SK Hynix,000660.KS,Direct Supplier,7.42,DRAM,2025-06-10,8937600.42,"PSC 4942, Box 9659, APO AE 90065",raymond.strong@skhynix.com
PepsiCo Inc,PEP,ServiceNow Inc,NOW,Service Provider,4.17,IT Service Management,2022-09-17,7510275.02,"01841 Thomas Fork, East Ronaldberg, MI 86400",eric.brown@servicenowin.com
Alphabet Inc,GOOGL,Iron Mountain,IRM,Service Provider,7.74,Records Management,2024-11-15,5538486.92,"269 William Lane, Luisville, AL 69183",summer.torres@ironmountain.com
Caterpillar Inc,CAT,Accenture plc,ACN,Service Provider,3.73,Consulting,2024-05-23,2490275.65,"060 Michelle Isle Suite 923, South Todd, KY 97694",donald.young@accentureplc.com
Tesla Inc,TSLA,LG Energy Solution,373220.KS,Direct Supplier,14.41,EV Batteries,2025-05-29,2928752.46,"16915 Austin Pines Apt. 798, East Brian, TN 06540",thomas.thompson@lgenergysolu.com
Ford Motor Co,F,,,Logistics Partner,3.69,Supply Chain,2024-01-04,693345.66,,valerie.nunez@upsinc.com
Procter & Gamble,PG,IBM Corp,IBM,Service Provider,3.34,Cloud,2023-06-29,8888246.54,,rachel.melton@ibmcorp.com
Apple Inc,AAPL,Corning Inc,GLW,Direct Supplier,29.11,Optical Components,2024-12-26,7670052.57,"774 Mary Harbor, Simsview, NV 10656",ronald.meadows@corninginc.com
Microsoft Corp,MSFT,FedEx Corp,FDX,Logistics Partner,19.03,Freight,2025-05-01,9506191.55,"227 Kathryn Manor, Jacksonbury, MI 24121",laura.fisher@fedexcorp.com
Microsoft Corp,MSFT,Datadog Inc,DDOG,Service Provider,,Monitoring,2023-08-23,1871960.37,"070 King Path Suite 235, New Cynthia, OK 87915",caroline.thomas@datadoginc.com
AMD Inc,AMD,UPS Inc,UPS,Logistics Partner,11.18,Shipping,2023-08-15,6661157.28,,
Cisco Systems,CSCO,,,Service Provider,6.11,Consulting,2025-03-13,5669728.29,"9044 Johnson Lake, Smithview, WY 06761",heidi.hall@accentureplc.com
Coca-Cola Co,KO,IBM Corp,IBM,Service Provider,12.73,IT Infrastructure,2023-12-19,782458.84,,
NVIDIA Corp,NVDA,UPS Inc,UPS,Logistics Partner,3.29,Supply Chain,2023-07-29,6448041.3,"5141 Boyd Key Apt. 560, Davidberg, NH 62646",andrea.williams@upsinc.com
Cisco Systems,CSCO,Iron Mountain,IRM,Service Provider,1.83,Records Management,2022-03-02,2031272.56,"04202 Castaneda Crest, Moonton, WA 09984",alex.campbell@ironmountain.com
Ford Motor Co,F,Aptiv PLC,APTV,Direct Supplier,5.68,Connectors,2022-11-06,2024303.92,,
Nike Inc,NKE,Iron Mountain,IRM,Service Provider,19.19,Data Storage,2024-12-04,1934488.94,"6149 Adams Ranch Suite 931, New Holly, OK 89550",eileen.kelly@ironmountain.com
Johnson & Johnson,JNJ,DHL Express,DHL.DE,Logistics Partner,4.42,International Shipping,2023-10-11,6008032.16,"63443 Garcia Springs, Garymouth, FM 95782",cameron.flowers@dhlexpress.com
JPMorgan Chase,JPM,SAP SE,SAP,Service Provider,-64.02,Business Software,2023-06-24,6148669.13,"2947 Werner Point, New Jeffreyshire, AZ 97682",sabrina.bennett@sapse.com
Caterpillar Inc,CAT,Illinois Tool Works,ITW,Direct Supplier,2.16,Fasteners,2025-05-17,1770285.76,,kristen.bryant@illinoistool.com
JPMorgan Chase,JPM,DHL Express,DHL.DE,Logistics Partner,,International Shipping,2022-04-15,9816697.5,"1362 James Run, North Jasonmouth, AZ 23651",andrew.nolan@dhlexpress.com
Ford Motor Co,F,Lear Corp,LEA,Direct Supplier,12.47,Seating,2024-06-02,2442964.43,,
Microsoft Corp,MSFT,Cloudflare Inc,NET,Service Provider,16.72,CDN,2023-02-09,1369650.27,"677 Alexander Alley, West Susan, NY 80412",ronald.ruiz@cloudflarein.com
Starbucks Corp,SBUX,Iron Mountain,IRM,Service Provider,8.93,Data Storage,2022-06-06,1209828.23,"62706 Roberts Rapids, North Maryburgh, KY 70577",nancy.murphy@ironmountain.com
Qualcomm Inc,QCOM,Entegris Inc,ENTG,Direct Supplier,1.15,Filtration,2022-11-26,6347186.89,"29557 Montgomery Forge, New Alexandraborough, NM 90112",erin.silva@entegrisinc.com
Eli Lilly,LLY,IBM Corp,IBM,Service Provider,high,IT Infrastructure,2022-02-10,6752097.3,,
Chevron Corp,CVX,DHL Express,DHL.DE,Logistics Partner,11.92,International Shipping,2024-09-28,5452810.5,,
Merck & Co,MRK,UPS Inc,UPS,Logistics Partner,1.46,Supply Chain,2022-07-18,3969341.94,"632 Phillips Rue, North Timothyport, GA 92684",lori.chavez@upsinc.com
Adobe Inc,ADBE,Google Cloud,GOOGL,Service Provider,292.19,Cloud Infrastructure,2025-06-24,7010147.17,"4888 Cindy Run Apt. 375, Port Beckyburgh, FL 69261",lauren.sullivan@googlecloud.com
General Electric,GE,Accenture plc,ACN,Service Provider,14.12,IT Services,2025-02-25,7957223.12,"PSC 5194, Box 8454, APO AP 22955",sarah.cain@accentureplc.com
Oracle Corp,ORCL,Amazon Web Services,AMZN,Service Provider,19.7,Cloud Infrastructure,2025-07-31,3991057.49,"233 Kevin Lane Suite 185, Amandashire, NE 51496",mark.richardson@amazonwebser.com
Starbucks Corp,SBUX,IBM Corp,IBM,Service Provider,2.75,Cloud,2025-12-30,5942595.19,"79099 Heather Stravenue, Randychester, CA 61498",cristian.stevens@ibmcorp.com
Ford Motor Co,F,BorgWarner Inc,BWA,Direct Supplier,10.68,Drivetrain,2025-02-04,8209710.68,"65362 Xavier Green Suite 590, Washingtonton, AK 78373",christian.vega@borgwarnerin.com
General Motors,GM,Denso Corp,6902.T,Tier 2 Supplier,11.66,Engine Components,2022-07-29,3890055.35,"0938 Gomez Inlet Suite 192, Mayton, TX 49359",mark.austin@densocorp.com
Merck & Co,MRK,UPS Inc,UPS,Logistics Partner,14.84,Supply Chain,2023-03-14,6188893.23,"2618 Rosales Isle Suite 375, South Alyssa, VA 84538",elizabeth.howell@upsinc.com
Procter & Gamble,PG,Accenture plc,ACN,Service Provider,176.52,IT Services,2025-10-10,3975909.98,,douglas.torres@accentureplc.com
Costco Wholesale,COST,Deloitte,DLT,Service Provider,6.91,Audit,2022-04-01,6886170.69,"19111 Powell Curve, North David, VA 04684",sandra.choi@deloitte.com
General Motors,GM,ZF Friedrichshafen,ZF.DE,Direct Supplier,17.82,Transmissions,2024-10-11,1748684.76,"752 Chad Estates Suite 596, Port Melissa, MH 29003",desiree.hudson@zffriedrichs.com
